city,country,x3 (McMeal),x9 (milk),x10 (bread),x11 (rice),x12 (eggs),x13 (cheese local),x14 (chicken fillets),x15 (beef round),x16 (apples),x17 (bananas),x18 (oranges),x19 (tomatoes),x20 (potatoes),x21 (onions),x22 (lettuce),x23 (water 1.5L),x28 (One-Way ticket transit),x29 (monthly pass transit),x30 (taxi start),x31 (taxi 1km),x32 (Taxi 1hr wait),x33 (Gas 1L),x34 (Volkswagen Golf),x35 (Toyota Corolla Sedan),x36 (basic utilities),x48 (apartment 1BR city center),x49 (apartment 1BR outside center),x50 (apartment 3BR city center),x51 (apartment 3BR outside center),x52 (price per sqm city center),x53 (price per sqm outside center),x54 (average monthly net salary),data_quality,NaN_tot,food_index,housing_index,transport_index,avg_transit_cost,x31b (taxi 8km),avg_taxi_cost,avg_personal_cost
Vasteras,Sweden,8.09,0.98,2.01,2.42,3.37,8.33,8.81,16.68,2.87,2.23,2.26,4.97,1.65,1.61,2.91,1.94,2.81,61.01,4.6,2.91,64.16,1.97,21547.13,21305.03,111.97,798.94,629.47,1307.35,952.27,3631.54,4872.25,2751.24,1,0,98.13741721854308,92.6644418988401,106.05089994814587,31.91,23.28,30.679999999999996,14284.710000000001
Wurzburg,Germany,8.95,1.08,1.85,1.94,2.53,12.75,7.29,14.05,2.46,1.72,2.13,1.15,2.11,1.26,1.76,0.73,2.95,60.85,4.74,2.27,28.45,2.27,40042.32,42149.81,297.58,667.37,577.63,1132.78,992.28,4712.35,4185.48,2186.52,1,0,87.96909492273733,94.63525180018662,203.00985919453888,31.900000000000002,18.16,17.116666666666664,27398.13333333333
Ulm,Germany,8.96,1.13,2.63,2.29,2.71,13.07,9.96,9.48,2.49,1.68,2.1,0.86,1.21,0.94,0.95,0.45,2.63,65.33,2.9,3.37,25.29,2.27,27397.38,39515.45,249.39,974.71,816.65,1448.9,1159.12,5532.16,4214.98,3279.78,1,0,84.0369757174393,108.42097969616933,165.31806423697196,33.98,26.96,18.383333333333333,22305.033333333336
Monza,Italy,10.01,1.38,2.05,2.48,2.81,13.28,9.17,17.9,2.25,1.51,1.89,2.48,1.08,1.53,1.02,0.55,1.9,47.42,5.27,1.21,26.34,2.19,26343.63,28451.12,171.48,748.16,474.19,1975.77,1127.51,3819.83,2107.49,1994.09,1,0,98.49613686534218,78.51027919555891,135.38095527074427,24.66,9.68,13.763333333333334,18265.646666666667
Leiria,Portugal,7.38,0.71,1.03,0.94,1.86,6.82,4.56,9.04,1.45,1.11,1.09,1.68,0.85,1.01,0.99,0.48,1.58,13.2,3.42,0.5,15.6,2.14,27924.25,31138.17,179.14,790.31,600.63,1053.75,695.47,2535.31,1879.18,1488.42,1,0,56.5673289183223,58.24606353918838,145.79071154640303,7.39,4.0,7.673333333333333,19688.186666666665
Cambridge,United Kingdom,7.38,1.27,1.51,1.61,2.86,8.04,7.87,15.3,3.17,1.61,2.74,3.55,1.37,1.57,1.12,1.42,3.94,71.34,3.44,1.34,22.14,2.01,26445.0,32390.01,259.08,1572.64,1204.63,2690.63,2096.59,8412.69,6290.94,3325.27,1,0,86.07891832229582,169.66076432900357,145.3968963494387,37.64,10.72,12.1,19612.34
Exeter,United Kingdom,8.91,1.14,1.09,1.2,2.41,6.87,7.55,10.46,2.05,1.14,1.82,1.67,1.09,1.13,0.8,1.4,3.32,73.19,3.69,1.64,19.93,1.93,28019.4,26973.9,232.96,925.14,811.8,1789.65,1486.25,8001.23,7155.53,2398.5,1,0,69.99172185430466,153.6593062550319,135.91854113720922,38.254999999999995,13.12,12.246666666666664,18331.743333333336
Colchester,United Kingdom,9.84,1.34,1.23,1.03,2.02,6.49,5.99,9.84,2.26,1.12,2.61,1.56,0.89,1.15,0.72,1.28,3.2,71.34,3.69,1.49,19.19,1.92,20153.55,36887.71,244.12,888.68,865.1,1558.0,1477.54,3075.0,2706.0,2471.46,1,0,68.11534216335542,81.44759029928927,140.96356444690477,37.27,11.92,11.6,19014.39333333333
Aalborg,Denmark,11.34,1.61,2.71,2.23,4.31,11.93,11.16,16.45,2.92,2.81,2.79,2.81,1.97,1.51,1.65,1.79,3.4,56.7,7.09,2.34,56.73,2.1,37280.64,45691.79,203.32,757.36,543.38,1273.99,1022.19,4388.73,3349.1,3448.13,1,0,110.36147902869757,86.89751833701241,205.0009645561389,30.05,18.72,27.513333333333332,27658.176666666666
Setubal,Portugal,7.11,0.78,1.35,1.1,1.93,10.12,8.43,12.12,1.44,1.07,1.5,2.05,1.12,0.93,1.07,0.53,1.9,42.15,3.42,0.5,15.81,2.13,28977.99,27397.38,102.21,711.28,461.01,895.68,1264.49,1580.62,1409.38,1049.88,1,0,72.64072847682121,48.38659144330495,139.2347394144281,22.025,4.0,7.743333333333333,18792.5
Bergamo,Italy,8.43,1.33,1.99,2.04,3.02,14.75,10.01,16.51,2.17,1.73,2.29,3.42,1.65,1.38,1.32,0.44,1.58,50.4,8.43,2.11,36.88,2.1,23709.27,26870.5,253.4,684.93,566.39,1580.62,869.34,2335.8,1448.9,1791.37,1,0,100.0,58.28816391884493,125.02539668913025,25.99,16.88,20.73,16860.623333333333
Maastricht,Netherlands,10.54,1.07,2.04,2.07,1.99,11.77,8.41,28.97,2.89,1.35,1.46,2.7,1.01,0.94,0.79,0.63,3.58,52.69,7.9,2.21,42.15,2.26,26815.18,23182.39,327.95,1141.34,958.91,1756.24,1317.18,4794.54,2634.36,3073.42,1,0,108.48509933774835,97.3845798133575,123.61208759057824,28.134999999999998,17.68,22.576666666666664,16666.61
Pescara,Italy,9.48,1.24,1.9,2.28,3.28,11.46,7.72,14.58,2.23,1.7,2.03,2.34,1.66,1.93,2.11,0.63,1.58,36.35,5.8,1.58,52.69,2.31,21074.9,21074.9,205.48,579.56,456.62,930.81,667.37,2107.49,1580.62,1339.76,1,0,91.84602649006622,49.16443173148543,104.22660605997814,18.965,12.64,23.709999999999997,14050.703333333333
Berkeley,United States,9.0,1.73,3.83,6.01,3.33,18.08,8.95,16.53,6.61,2.23,5.22,6.1,4.2,4.69,2.0,2.74,2.5,90.0,3.0,1.62,25.0,1.56,40000.0,23500.0,193.45,2247.5,1866.67,5166.67,4083.33,7534.74,5651.05,4655.0,1,0,139.69370860927154,201.41461794470317,156.95296962412903,46.25,12.96,13.653333333333334,21167.186666666665
Gottingen,Germany,8.43,1.03,2.24,2.14,3.1,18.76,7.69,13.17,2.59,1.71,2.39,0.83,2.81,0.94,1.72,1.22,2.53,55.06,2.85,1.9,28.45,2.32,20969.53,,254.01,729.72,453.11,1159.12,1093.26,4214.98,3161.24,2777.67,1,1,97.64072847682121,83.33796512823295,51.959331747612914,28.795,15.2,15.5,10485.925
Chelmsford,United Kingdom,7.12,0.95,1.13,2.28,3.09,7.03,7.57,13.53,3.01,1.09,2.05,2.36,1.04,1.17,0.84,1.19,3.38,105.35,3.81,1.65,22.14,1.9,29049.53,32917.88,199.83,1199.25,968.63,1718.93,1906.5,5904.0,,2669.84,1,1,76.50386313465783,89.60180873473675,153.20812358554377,54.364999999999995,13.2,13.049999999999999,20656.436666666665
Bruges,Belgium,7.38,0.84,1.58,1.84,2.05,10.54,10.22,17.86,1.58,1.79,1.79,1.74,0.95,0.82,1.03,0.5,3.06,21.07,2.53,2.63,31.61,1.92,23182.39,28451.12,172.31,680.72,605.9,1013.1,792.07,2871.46,2107.49,2107.49,1,0,86.2444812362031,62.0814909710125,127.52944363119121,12.065,21.04,18.393333333333334,17211.809999999998
Linkoping,Sweden,7.75,1.21,2.02,2.29,2.91,8.7,8.58,16.74,2.75,2.3,2.6,3.44,1.18,1.2,2.74,1.4,2.52,60.53,12.11,1.62,19.37,1.95,20481.88,18658.04,58.23,726.31,621.4,1162.09,919.99,6439.93,3098.91,2774.5,1,0,93.55684326710818,98.11015236722376,96.79609480575418,31.525000000000002,12.96,14.813333333333333,13047.29
Trento,Italy,8.43,1.3,2.22,2.09,2.96,12.51,10.64,23.01,1.75,1.29,2.42,2.28,1.24,1.3,1.6,0.43,1.26,34.14,7.9,2.11,19.43,2.17,28951.65,24938.64,166.12,737.62,553.22,1348.79,1080.09,5619.97,3688.11,1735.17,1,0,104.12527593818986,99.3683436776753,133.10702034054015,17.7,16.88,14.736666666666666,17964.153333333332
Uzhhorod,Ukraine,2.72,0.89,0.56,1.35,1.09,6.8,3.37,5.0,0.6,1.13,1.19,1.5,0.36,0.36,0.88,0.48,0.26,,1.36,0.27,3.26,0.85,20397.3,20397.3,78.81,340.1,201.83,564.33,242.05,1034.05,649.61,353.55,1,1,39.01766004415011,23.42844705331234,100.65081636972646,0.26,2.16,2.2600000000000002,13598.483333333332
Helsingborg,Sweden,7.46,1.34,2.34,2.32,3.14,7.26,7.55,19.25,2.23,1.63,2.36,3.13,1.13,1.11,2.13,1.65,2.61,99.21,5.81,1.94,43.09,1.94,26631.29,29536.52,78.19,759.23,726.31,1258.93,953.88,4035.04,3873.64,2388.75,1,0,91.10099337748346,88.00575999469793,138.9414995468313,50.91,15.52,21.473333333333333,18723.25
Durres,Albania,4.51,1.38,0.71,1.23,1.92,4.96,3.98,8.11,0.8,1.51,1.25,1.06,0.58,0.67,0.84,0.48,0.36,10.81,2.7,1.88,13.52,1.53,17120.97,25831.64,91.64,279.42,158.82,452.5,253.44,1232.48,580.09,350.17,1,0,46.89569536423841,22.958564640651797,106.03558052711637,5.585,15.04,10.42,14318.046666666667
Ariana,Tunisia,3.72,0.42,0.24,0.7,1.12,7.23,3.8,8.98,1.57,1.86,0.77,0.58,0.45,0.46,0.32,0.24,0.31,15.49,0.17,0.31,3.72,0.66,24470.26,26125.57,50.6,178.35,139.41,309.79,220.84,779.64,518.9,296.88,1,0,44.784768211920536,16.550419911747362,124.86559119890627,7.9,2.48,2.1233333333333335,16865.496666666666
Erlangen,Germany,8.43,1.02,2.45,2.11,2.67,13.75,7.66,25.99,2.29,1.68,2.08,0.83,1.16,1.17,1.36,0.65,2.58,60.27,3.64,1.9,42.15,2.28,26343.63,31612.36,247.52,701.79,562.0,1542.98,1008.58,5971.22,4039.36,3609.71,1,0,103.8907284768212,105.99241289401324,143.24968584085863,31.425,15.2,20.33,19319.423333333336
Vicenza,Italy,8.96,1.46,2.05,1.62,3.46,10.52,9.02,17.54,2.03,1.84,2.34,3.26,1.29,2.11,1.98,0.49,2.11,42.15,8.43,2.63,34.25,2.2,25447.95,29504.87,252.83,524.24,427.82,1027.4,737.62,2774.86,1650.87,1659.65,1,0,96.5369757174393,55.69932948178877,135.78925114426949,22.13,21.04,21.24,18318.34
Kristiansand,Norway,12.33,1.88,2.82,3.19,4.24,9.99,13.11,29.03,2.98,2.57,2.84,3.58,2.1,2.14,2.31,1.58,3.44,79.12,12.33,1.75,73.21,2.09,33393.99,29283.96,204.47,907.63,719.26,1746.76,1335.76,4675.16,3467.84,4349.78,1,0,133.4023178807947,98.33624420931496,155.04411055836206,41.28,14.0,33.18,20893.346666666665
Jena,Germany,8.43,1.03,1.46,2.28,2.46,9.62,8.39,8.96,2.81,1.48,2.1,1.81,0.88,0.98,0.95,0.52,2.32,66.07,4.74,2.69,31.61,2.27,28451.12,26343.63,317.77,614.68,387.25,1369.87,860.56,5093.1,4144.73,2779.25,1,0,74.72406181015452,96.31090716150806,135.44354040947505,34.19499999999999,21.52,19.29,18265.673333333336
Funchal,Portugal,7.38,0.66,1.28,0.94,2.44,7.02,4.86,7.87,1.44,1.22,1.17,1.33,0.92,1.25,1.13,0.76,2.05,36.88,3.16,0.86,21.07,2.14,32139.23,30382.99,81.56,851.78,649.81,1308.4,1053.75,2177.74,1475.24,1090.63,1,0,57.49172185430464,57.225487072773404,154.39899271723112,19.465,6.88,10.37,20841.453333333335
Maidstone,United Kingdom,8.61,1.34,1.7,2.19,3.41,13.53,12.39,12.3,4.36,2.49,3.12,2.45,1.89,1.93,1.09,1.56,3.94,105.74,3.69,1.75,28.29,1.9,28323.89,32786.8,318.38,1681.03,846.65,3371.38,2380.84,3105.75,2644.5,3290.8,1,0,102.59381898454747,108.06414320455437,151.1121504964134,54.839999999999996,14.0,15.326666666666668,20370.863333333335
Everett,United States,9.0,0.96,3.3,3.34,2.93,11.65,13.29,21.67,4.69,1.96,3.33,4.41,1.68,2.08,2.15,1.75,2.75,100.0,5.25,1.43,9.0,1.32,20922.5,23350.0,101.21,1775.0,1666.67,2566.67,2466.67,4305.56,4090.29,4467.33,1,0,121.67494481236206,127.82300367756984,109.51104157755007,51.375,11.44,8.563333333333333,14757.94
Tuzla,Bosnia And Herzegovina,5.38,0.82,0.73,1.54,1.89,5.4,6.34,8.98,0.98,1.3,1.36,1.43,0.71,0.76,0.96,0.61,1.08,28.22,1.08,0.54,5.38,1.49,21503.28,19351.5,157.23,208.57,155.29,319.17,282.21,1574.23,1028.05,513.65,1,0,54.07008830022075,28.052484637880255,100.87769674848373,14.649999999999999,4.32,3.5933333333333337,13618.756666666668
Winterthur,Switzerland,16.03,1.9,3.94,2.85,6.97,30.63,22.57,32.59,3.58,2.97,2.71,4.44,3.7,3.74,2.82,0.68,3.42,98.83,7.48,4.81,74.79,1.95,31679.55,38183.74,176.51,1696.16,1228.72,2735.02,2030.06,17015.07,12193.69,6054.55,1,0,196.08167770419428,279.2274166107463,172.81730319971146,51.125,38.48,40.25,23288.41333333333
Basingstoke,United Kingdom,7.38,1.2,1.48,2.46,2.48,8.79,7.25,17.57,2.33,1.02,1.52,1.9,1.4,1.17,0.9,1.21,3.81,77.54,3.69,1.83,22.14,1.91,20294.39,20909.39,167.99,943.0,922.5,1660.5,1476.0,,,2644.5,1,2,82.86423841059603,38.937127338209145,101.919047344165,40.675000000000004,14.64,13.49,13735.230000000001
Bend,United States,10.0,0.94,5.02,8.1,4.83,15.79,19.84,21.3,4.67,1.61,5.29,8.88,2.93,2.97,2.16,2.7,2.5,30.0,1.0,1.86,20.0,1.4,24095.0,25833.25,173.47,2300.0,1850.0,3375.0,2760.0,5730.71,4305.56,3163.0,1,0,161.4652317880795,154.35354829380495,123.30779603115987,16.25,14.88,11.96,16643.216666666667
Samsun,Turkey,3.76,0.74,0.52,1.38,1.22,5.5,3.89,7.91,0.55,1.28,0.84,0.66,0.48,0.37,0.63,0.19,0.36,16.77,1.07,0.32,2.41,1.25,35472.98,35389.8,80.57,174.41,125.58,281.74,161.0,670.82,402.49,305.45,1,0,41.280353200883006,14.284078901684694,174.86578855054597,8.565,2.56,2.013333333333333,23621.343333333334
